id,name,isSoup,isSpicy,isSweet,isHot,isMeat,isNoodle,isRice,isBread
1,돼지왕갈비(250g),0,0,0,1,1,0,0,0
2,현미바사삭,0,0,0,1,1,0,0,0
3,그대와 함께 라면,1,1,0,1,0,1,0,0
4,또르띠야 데 빠따따,0,0,0,0,0,0,0,0
5,오꼬노미야끼해물,0,0,0,0,0,0,0,0
6,직화불고기혼밥,0,0,0,1,1,0,1,0
7,무모한 메가초밥세트A(32P),0,0,0,0,0,0,1,0
8,오리지날치킨,0,0,0,1,1,0,0,0
9,노미호다이-무한리필(1인당),0,0,0,0,0,0,0,0
10,장어소금구이 (1kg),0,0,0,1,1,0,0,0
11,오징어덮밥,0,0,0,0,0,0,1,0
12,닭다리살,0,0,0,1,1,0,0,0
13,메뉴판1,0,0,0,0,0,0,0,0
14,삼겹살(150g),0,0,0,1,1,0,0,0
15,김치찜,1,1,0,1,0,0,0,0
16,(New)투움바 파스타 베이컨,0,0,0,1,1,1,0,0
17,주물럭 청국장,1,1,0,1,1,0,1,0
18,베지 토마토 파스타,0,0,0,1,0,1,0,0
19,나눠먹는 와츄원,0,0,0,0,0,0,0,0
20,볶음밥,0,0,0,1,0,0,1,0
21,새우튀김,0,0,0,1,0,0,0,0
22,갈비탕,0,0,0,1,1,0,0,0
23,소곱창,0,0,0,1,1,0,0,0
24,소등심(150g),0,0,0,1,1,0,0,0
25,동태찌개,1,1,0,1,0,0,1,0
26,버섯매운칼국수,1,1,0,1,0,1,0,0
27,전통주,0,0,0,0,0,0,0,0
28,소 생갈비살 (180g),0,0,0,1,1,0,0,0
29,뒷고기 한판(500g),0,0,0,0,1,0,0,0
30,백반,0,0,0,0,0,0,1,0
31,냉면,1,0,0,0,0,1,0,0
32,모쯔나베,1,0,0,1,0,0,0,0
33,시저샐러드,0,0,0,0,0,0,0,0
34,낙지찜 (2인),0,0,0,0,0,0,0,0
35,수제 큐브파운드,0,0,0,0,0,0,0,0
36,참다랑어 뱃살 (1Pcs),0,0,0,0,0,0,0,0
37,반반섞음,0,0,0,0,0,0,0,0
38,돌솥추어탕,1,1,0,1,0,0,0,0
39,SET A,0,0,0,0,0,0,0,0
40,대패삼겹살,0,0,0,1,1,0,0,0
41,쭈꾸미(1인),0,0,0,0,0,0,0,0
42,사골칼국수,1,0,0,1,0,1,0,0
43,전주콩나물해장국,1,1,0,1,1,0,1,0
44,모로코 치킨 타진,0,0,0,1,1,0,0,0
45,두마리 같은 한마리 후라이드 치킨,0,0,0,1,1,0,0,0
46,광어초밥(10p),0,0,0,1,1,0,1,0
47,치킨보울(스몰),0,0,0,1,1,0,0,0
48,얼큰버섯칼국수,1,1,0,1,0,1,0,0
49,츠루츠루 라멘,1,1,0,1,0,1,0,0
50,찹쌀경성꽈배기(3개),0,0,0,0,0,0,0,1
51,수박빙수,0,0,1,0,0,0,0,0
52,순살양념구이치킨,0,0,0,1,1,0,0,0
53,도미초밥,0,0,0,0,0,0,1,0
54,버팔로칩,0,0,0,0,0,0,0,0
55,수제 베이컨 시저 샐러드,0,0,0,1,1,0,0,0
56,얼큰닭도리탕 (대),1,1,0,1,1,0,0,0
57,포모도로,0,0,0,0,0,0,0,0
58,흑염소탕 (100g),1,0,0,1,1,0,0,0
59,점심특선초밥(10ps),0,0,0,0,0,0,1,0
60,영구짜장,0,0,0,1,0,0,0,0
61,클로리스가든,0,0,0,0,0,0,0,0
62,비빔냉면,1,0,0,0,0,1,0,0
63,즉석떡볶이(2인),1,1,1,1,0,0,0,0
64,장미차,0,0,0,0,0,0,0,0
65,김치찌개 (1인분),1,1,0,1,0,0,1,0
66,콩나물국밥,1,0,0,1,0,0,1,0
67,비프 타코,0,0,0,0,1,0,0,1
68,격식을 갖춘 한끼,0,0,0,0,0,0,0,0
69,쩡떡볶이,1,1,1,1,0,0,0,0
70,야채김밥,0,0,0,0,0,0,1,0
71,얼큰뼈감자탕 (대),1,1,0,1,1,0,0,0
72,크림양송이 스파게티,0,0,1,0,0,0,0,0
73,족발 (중),0,0,0,0,1,0,0,0
74,고급양갈비,0,0,0,1,1,0,0,0
75,크리스피치킨,0,0,1,1,1,0,0,0
